Quarterly,Level of activity,Momentum
2010Q1,-2.22039455,0.4903872516666666
2010Q2,-2.1012544280000003,0.7534986016666667
2010Q3,-2.155143058,0.68620727
2010Q4,-2.0624747353333333,0.7313317386666668
2011Q1,-1.8975564219999999,0.8349793536666666
2011Q2,-1.8921545976666667,0.8777804676666667
2011Q3,-1.9134049336666665,0.40806818666666667
2011Q4,-1.7317040746666665,0.656927822
2012Q1,-1.548773225,0.929451067
2012Q2,-1.5125205063333331,0.713401547
2012Q3,-1.5485058760000001,0.6752679633333333
2012Q4,-1.416506057,0.6153166073333333
2013Q1,-1.3521868456666668,0.5742686823333334
2013Q2,-1.2254095266666667,0.6314624226666666
2013Q3,-1.0849035703333334,0.6149982846666667
2013Q4,-1.091341035,0.652290345
2014Q1,-0.8703858609999999,0.4985703066666667
2014Q2,-0.7270660223333333,0.8722585686666667
2014Q3,-0.556731501,0.7490528973333334
2014Q4,-0.4153743973333333,0.8547422086666666
2015Q1,-0.24146625366666666,0.6961167563333333
2015Q2,-0.208671367,0.5463075883333334
2015Q3,-0.10421936433333334,0.46147465066666665
2015Q4,0.02613852533333333,0.443690129
2016Q1,0.013927129333333335,0.21602300433333332
2016Q2,0.041259628,0.33227169
2016Q3,0.09418547633333334,0.4075533656666666
2016Q4,0.2634023113333333,0.5701130443333334
2017Q1,0.3699010356666666,0.7010394526666667
2017Q2,0.4340117016666667,0.735754574
2017Q3,0.5282485726666667,0.66734152
2017Q4,0.602004647,0.8413911116666667
2018Q1,0.728152408,0.629562348
2018Q2,0.8292700326666665,0.6206409573333334
2018Q3,1.0274093516666667,0.656646986
2018Q4,1.0035316300000001,0.4704592859999999
2019Q1,0.9434674156666668,0.34336245933333337
2019Q2,1.0149912786666668,0.412998283
2019Q3,1.130951831,0.210886875
2019Q4,1.0329776663333334,0.23425127033333334
2020Q1,0.805321019,-0.4460816186666667
2020Q2,-1.3322113536666667,-7.792441816999999
2020Q3,-0.7936973410000001,1.9239804946666663
2020Q4,-0.4282248016666667,0.8166211303333334
2021Q1,-0.25151218066666664,0.7802040293333334
2021Q2,0.44748124800000005,0.632475243
2021Q3,0.9365167463333334,0.8304768246666666
2021Q4,1.149752334,0.7391557465
